"Indice_de_Força_Relativa";"Indice_do_canal_de_commodities";"Indice_Direcional_Medio";"Oscilador_extraordinario";"Momentum";"NIvel_MACD";"IFR_Estocastico_Rapido";"Range_Percentual_de_Williams";"Força_Bull_Bear";"Oscilador_Definitivo";"Status"
72.63;73.42;24.50;2.43;−0.17;1.17;31.36;−23.32;1.10;58.59;49.08
72.52;72.99;24.50;2.43;−0.18;1.17;31.20;−23.63;1.10;58.49;49.10
72.52;72.99;24.50;2.43;−0.18;1.17;31.20;−23.63;1.10;58.49;49.11
72.63;73.42;24.50;2.43;−0.17;1.17;31.36;−23.32;1.10;58.59;49.13
73.04;75.16;24.50;2.43;−0.13;1.17;31.96;−22.08;1.09;58.96;49.14
73.14;75.59;24.50;2.43;−0.12;1.17;32.12;−21.77;1.09;59.05;49.14
73.14;75.59;24.50;2.43;−0.12;1.17;32.12;−21.77;1.09;59.05;49.10
73.14;75.59;24.50;2.43;−0.12;1.17;32.12;−21.77;1.09;59.05;49.06
72.63;73.42;24.50;2.43;−0.17;1.17;31.36;−23.32;1.10;58.59;49.06
72.11;71.25;24.50;2.43;−0.22;1.16;30.60;−24.87;1.11;58.12;49.04
71.70;69.50;24.50;2.43;−0.26;1.16;30.00;−26.11;1.13;57.74;49.08
72.52;72.99;24.50;2.43;−0.18;1.17;31.20;−23.63;1.10;58.49;49.04
71.91;70.37;24.50;2.43;−0.24;1.16;30.30;−25.49;1.12;57.93;49.04
71.91;70.37;24.50;2.43;−0.24;1.16;30.30;−25.49;1.12;57.93;49.01
71.91;70.37;24.50;2.43;−0.24;1.16;30.30;−25.49;1.12;57.93;49.00
71.70;69.50;24.50;2.43;−0.26;1.16;30.00;−26.11;1.13;57.74;49.05
72.32;72.12;24.50;2.43;−0.20;1.16;30.90;−24.25;1.11;58.31;49.04
72.32;72.12;24.50;2.43;−0.20;1.16;30.90;−24.25;1.11;58.31;49.08
72.52;72.99;24.50;2.43;−0.18;1.17;31.20;−23.63;1.10;58.49;49.07
72.42;72.55;24.50;2.43;−0.19;1.17;31.05;−23.94;1.11;58.40;49.08
72.52;72.99;24.50;2.43;−0.18;1.17;31.20;−23.63;1.10;58.49;49.08
72.52;72.99;24.50;2.43;−0.18;1.17;31.20;−23.63;1.10;58.49;49.10
72.83;74.29;24.50;2.43;−0.15;1.17;31.66;−22.70;1.09;58.77;49.10
72.83;74.29;24.50;2.43;−0.15;1.17;31.66;−22.70;1.09;58.77;49.07
72.83;74.29;24.50;2.43;−0.15;1.17;31.66;−22.70;1.09;58.77;49.07
72.21;71.68;24.50;2.43;−0.21;1.16;30.75;−24.56;1.11;58.21;49.06
72.32;72.12;24.50;2.43;−0.20;1.16;30.90;−24.25;1.11;58.31;49.05
72.42;72.55;24.50;2.43;−0.19;1.17;31.05;−23.94;1.11;58.40;49.05
72.42;72.55;24.50;2.43;−0.19;1.17;31.05;−23.94;1.11;58.40;49.00
71.70;69.50;24.50;2.43;−0.26;1.16;30.00;−26.11;1.13;57.74;49.01
71.91;70.37;24.50;2.43;−0.24;1.16;30.30;−25.49;1.12;57.93;49.01
71.39;68.19;24.50;2.43;−0.29;1.16;29.56;−27.04;1.13;57.46;48.99
71.70;69.50;24.50;2.43;−0.26;1.16;30.00;−26.11;1.13;57.74;48.97
71.70;69.50;24.50;2.43;−0.26;1.16;30.00;−26.11;1.13;57.74;49.00
71.70;69.50;24.50;2.43;−0.26;1.16;30.00;−26.11;1.13;57.74;49.01
72.32;72.12;24.50;2.43;−0.20;1.16;30.90;−24.25;1.11;58.31;49.04
72.32;72.12;24.50;2.43;−0.20;1.16;30.90;−24.25;1.11;58.31;49.02
71.70;69.50;24.50;2.43;−0.26;1.16;30.00;−26.11;1.13;57.74;49.10
72.63;73.42;24.50;2.43;−0.17;1.17;31.36;−23.32;1.10;58.59;49.09
72.42;72.55;24.50;2.43;−0.19;1.17;31.05;−23.94;1.11;58.40;49.08
72.42;72.55;24.50;2.43;−0.19;1.17;31.05;−23.94;1.11;58.40;49.00
72.01;70.81;24.50;2.43;−0.23;1.16;30.45;−25.18;1.12;58.02;49.01
71.80;69.94;24.50;2.43;−0.25;1.16;30.15;−25.80;1.12;57.84;49.00
71.70;69.50;24.50;2.43;−0.26;1.16;30.00;−26.11;1.13;57.74;49.02
71.70;69.50;24.50;2.43;−0.26;1.16;30.00;−26.11;1.13;57.74;49.00
71.80;69.94;24.50;2.43;−0.25;1.16;30.15;−25.80;1.12;57.84;48.99
71.80;69.94;24.50;2.43;−0.25;1.16;30.15;−25.80;1.12;57.84;48.93
